hp,Synchronous Speed (RPM),Poles,Nominal Efficiency ,Eff Type,NEMA Table,Motor Type,Hz,Voltage Limit,Catalog,,,,
500,1800,4,95.8,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
500,1800,4,95.8,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
500,3600,2,95.8,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
500,3000,2,95.8,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
500,1000,6,95.8,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
500,3000,2,95.8,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
500,1000,6,95.8,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
500,1500,4,96,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
500,1500,4,96,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
500,3600,2,96.2,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
500,1800,4,96.2,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
500,1800,4,96.2,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
